               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.032421,            0.038136,           0.0024555,             0.74788,              0.8201,             0.83672,             0.52988,            0.034707,            0.023386,           0.0037622,           0.0082675,           0.0082675,           0.0082675
                 107,            0.031911,            0.037721,           0.0026539,             0.79303,             0.78255,             0.84704,             0.53787,            0.032916,             0.02334,           0.0042915,            0.008251,            0.008251,            0.008251
                 108,            0.031588,            0.037123,           0.0025593,             0.76479,              0.7409,              0.8106,             0.48236,             0.03658,             0.02659,           0.0044603,           0.0082345,           0.0082345,           0.0082345
                 109,            0.030448,            0.036978,           0.0026307,             0.76506,             0.79993,             0.84444,             0.51286,            0.034227,            0.024639,           0.0044689,            0.008218,            0.008218,            0.008218
                 110,            0.031731,            0.038288,           0.0022848,             0.79305,             0.74316,             0.81179,             0.50729,            0.033498,            0.024885,           0.0045161,           0.0082015,           0.0082015,           0.0082015
                 111,            0.030625,            0.036759,           0.0025053,             0.74389,             0.74724,             0.78944,             0.48304,            0.035504,            0.024862,           0.0050697,            0.008185,            0.008185,            0.008185
                 112,            0.030836,            0.035749,           0.0023683,             0.77321,             0.78501,             0.82625,              0.5023,            0.033431,            0.024988,           0.0044646,           0.0081685,           0.0081685,           0.0081685
                 113,            0.032252,            0.035277,           0.0022392,             0.72897,              0.7632,             0.81545,             0.48148,              0.0352,            0.023506,           0.0038338,            0.008152,            0.008152,            0.008152
                 114,            0.031567,              0.0359,            0.002492,             0.78952,              0.7838,             0.83498,             0.52388,            0.031852,            0.022871,           0.0047493,           0.0081355,           0.0081355,           0.0081355
                 115,            0.032294,            0.038535,           0.0028525,             0.84657,             0.62321,             0.76697,             0.46594,            0.036878,            0.027002,           0.0061755,            0.008119,            0.008119,            0.008119
                 116,            0.031324,            0.035052,           0.0024652,             0.60529,             0.55902,             0.58126,             0.34467,            0.041647,            0.031992,            0.024725,           0.0081025,           0.0081025,           0.0081025
                 117,            0.031728,            0.035878,           0.0021001,             0.70492,             0.69098,             0.76955,             0.46624,            0.035889,            0.025566,           0.0060039,            0.008086,            0.008086,            0.008086
                 118,            0.031317,            0.036343,           0.0022754,             0.77212,             0.78348,              0.7892,              0.4786,            0.035022,            0.025045,           0.0043931,           0.0080695,           0.0080695,           0.0080695
                 119,            0.031283,            0.035732,           0.0026523,             0.78504,             0.74464,             0.83084,             0.52614,              0.0329,            0.022854,           0.0046906,            0.008053,            0.008053,            0.008053
                 120,             0.03254,            0.036417,           0.0018817,             0.75823,             0.79208,             0.80909,             0.49173,            0.034078,            0.023569,           0.0062771,           0.0080365,           0.0080365,           0.0080365
                 121,            0.031156,            0.036264,           0.0021373,             0.74751,             0.64004,             0.72657,             0.41443,            0.038685,            0.027706,           0.0060596,             0.00802,             0.00802,             0.00802
                 122,            0.031185,            0.036448,            0.002337,             0.70017,             0.79344,             0.79537,             0.49247,            0.033782,            0.024307,           0.0044231,           0.0080035,           0.0080035,           0.0080035
